lat,lon
52.938,-103.688
52.938,-103.563
52.938,-103.438
52.938,-103.313
52.938,-103.188
52.938,-103.063
52.938,-102.938
52.938,-102.813
52.938,-102.688
52.938,-102.563
52.938,-102.438
52.938,-102.313
52.938,-102.188
52.938,-102.063
52.938,-101.938
52.938,-101.813
52.938,-101.688
52.938,-101.563
52.938,-101.438
52.938,-101.313
52.938,-101.188
52.938,-101.063
52.938,-100.938
52.938,-100.813
52.938,-100.688
52.938,-100.563
52.938,-100.438
52.938,-100.313
52.938,-100.188
52.938,-100.063
52.938,-99.938
52.938,-99.813
52.938,-99.688
52.938,-99.563
52.938,-99.438
52.938,-99.313
52.938,-99.188
52.938,-99.063
52.938,-98.938
52.938,-98.813
52.938,-98.688
52.938,-98.563
52.938,-98.438
52.938,-98.313
52.938,-98.188
52.938,-98.063
52.938,-97.938
52.938,-97.813
52.938,-97.688
52.938,-97.563
52.938,-97.438
52.938,-97.313
52.938,-97.188
52.938,-97.063
52.938,-96.938
52.938,-96.813
52.938,-96.688
52.938,-96.563
52.938,-96.438
52.938,-96.313
52.938,-96.188
52.938,-96.063
52.938,-95.938
52.938,-95.813
52.938,-95.688
52.938,-95.563
52.938,-95.438
52.938,-95.313
52.938,-95.188
52.938,-95.063
52.938,-94.938
52.938,-94.813
52.938,-94.688
52.938,-94.563
52.938,-94.438
52.938,-94.313
52.938,-94.188
52.938,-94.063
52.938,-93.938
52.938,-93.813
52.938,-93.688
52.938,-93.563
52.938,-93.438
52.938,-93.313
52.938,-93.188
52.938,-93.063
52.938,-92.938
52.938,-92.813
52.938,-92.688
52.938,-92.563
52.938,-92.438
52.938,-92.313
52.938,-92.188
52.938,-92.063
52.938,-91.938
52.938,-91.813
52.938,-91.688
52.938,-91.563
52.938,-91.438
52.938,-91.313
52.938,-91.188
52.938,-91.063
52.938,-90.938
52.938,-90.813
52.938,-90.688
52.938,-90.563
52.938,-90.438
52.938,-90.313
52.938,-90.188
52.938,-90.063
52.938,-89.938
52.938,-89.813
52.938,-89.688
52.938,-89.563
52.938,-89.438
52.938,-89.313
52.938,-89.188
52.938,-89.063
52.938,-88.938
52.938,-88.813
52.938,-88.688
52.938,-88.563
52.938,-88.438
52.938,-88.313
52.938,-88.188
52.938,-88.063
52.938,-87.938
52.938,-87.813
52.938,-87.688
52.938,-87.563
52.938,-87.438
52.938,-87.313
52.938,-87.188
52.938,-87.063
52.938,-86.938
52.938,-86.813
52.938,-86.688
52.938,-86.563
52.938,-86.438
52.938,-86.313
52.938,-86.188
52.938,-86.063
52.938,-85.938
52.938,-85.813
52.938,-85.688
52.938,-85.563
52.938,-85.438
52.938,-85.313
52.938,-85.188
52.938,-85.063
52.938,-84.938
52.938,-84.813
52.938,-84.688
52.938,-84.563
52.938,-84.438
52.938,-84.313
52.938,-84.188
52.938,-84.063
52.938,-83.938
52.938,-83.813
52.938,-83.688
52.938,-83.563
52.938,-83.438
52.938,-83.313
52.938,-83.188
52.938,-83.063
52.938,-82.938
52.938,-82.813
52.938,-82.688
